year,sex,agegrp,drugname,deaths,pop,rate
Tot,F,30-39,HEROIN,23,3493900,0.6582901629
Tot,F,30-39,HYDROCODONE,54,3493900,1.5455508171
Tot,F,30-39,METHADONE,197,3493900,5.6383983514
Tot,F,30-39,METHAMPHETAMINE,54,3493900,1.5455508171
Tot,F,30-39,MORPHINE,33,3493900,0.9445032771
Tot,F,30-39,OPIATE,34,3493900,0.9731245886
Tot,F,30-39,OXYCODONE,79,3493900,2.2610836029
Tot,F,40-49,ACETAMINOPHEN,74,3883010,1.9057380743
Tot,F,40-49,ALCOHOL,130,3883010,3.3479182387
Tot,F,40-49,ALPRAZOLAM,65,3883010,1.6739591193
Tot,F,40-49,AMITRIPTYLINE,69,3883010,1.7769719882
Tot,F,40-49,CITALOPRAM,107,3883010,2.7555942426
Tot,F,40-49,COCAINE,144,3883010,3.7084632798
Tot,F,40-49,DIAZEPAM,78,3883010,2.0087509432
Tot,F,40-49,DIPHENHYDRAMINE,110,3883010,2.8328538943
Tot,F,40-49,HEROIN,38,3883010,0.9786222544
Tot,F,40-49,HYDROCODONE,104,3883010,2.6783345909
Tot,F,40-49,METHADONE,300,3883010,7.7259651662
Tot,F,40-49,METHAMPHETAMINE,78,3883010,2.0087509432
Tot,F,40-49,MORPHINE,86,3883010,2.214776681
Tot,F,40-49,OPIATE,67,3883010,1.7254655538
Tot,F,40-49,OXYCODONE,146,3883010,3.7599697142
Tot,F,50-59,ACETAMINOPHEN,66,3538432,1.8652329619
Tot,F,50-59,ALCOHOL,122,3538432,3.447854869
Tot,F,50-59,ALPRAZOLAM,58,3538432,1.6391441181
Tot,F,50-59,AMITRIPTYLINE,66,3538432,1.8652329619
Tot,F,50-59,CITALOPRAM,88,3538432,2.4869772826
Tot,F,50-59,COCAINE,77,3538432,2.1761051223
Tot,F,50-59,DIAZEPAM,69,3538432,1.9500162784
Tot,F,50-59,DIPHENHYDRAMINE,73,3538432,2.0630607003
Tot,F,50-59,HEROIN,24,3538432,0.6782665316
Tot,F,50-59,HYDROCODONE,82,3538432,2.3174106497
Tot,F,50-59,METHADONE,203,3538432,5.7370044133
Tot,F,50-59,METHAMPHETAMINE,36,3538432,1.0173997974
Tot,F,50-59,MORPHINE,109,3538432,3.0804604978
Tot,F,50-59,OPIATE,39,3538432,1.1021831139
Tot,F,50-59,OXYCODONE,156,3538432,4.4087324555
Tot,F,60-69,ACETAMINOPHEN,17,2178612,0.7803133371
Tot,F,60-69,ALCOHOL,33,2178612,1.5147258897
Tot,F,60-69,ALPRAZOLAM,9,2178612,0.4131070608
Tot,F,60-69,AMITRIPTYLINE,23,2178612,1.0557180443
Tot,F,60-69,CITALOPRAM,24,2178612,1.1016188289
Tot,F,60-69,COCAINE,10,2178612,0.4590078454
Tot,F,60-69,DIAZEPAM,9,2178612,0.4131070608
Tot,F,60-69,DIPHENHYDRAMINE,26,2178612,1.1934203979
Tot,F,60-69,HEROIN,4,2178612,0.1836031381
Tot,F,60-69,HYDROCODONE,22,2178612,1.0098172598
Tot,F,60-69,METHADONE,48,2178612,2.2032376577
Tot,F,60-69,METHAMPHETAMINE,2,2178612,0.0918015691
Tot,F,60-69,MORPHINE,23,2178612,1.0557180443
Tot,F,60-69,OPIATE,11,2178612,0.5049086299
Tot,F,60-69,OXYCODONE,45,2178612,2.0655353041
Tot,F,70-79,ACETAMINOPHEN,7,1347246,0.5195784586
Tot,F,70-79,ALCOHOL,3,1347246,0.2226764822
Tot,F,70-79,ALPRAZOLAM,2,1347246,0.1484509882
Tot,F,70-79,AMITRIPTYLINE,5,1347246,0.3711274704
Tot,F,70-79,CITALOPRAM,5,1347246,0.3711274704
Tot,F,70-79,COCAINE,0,1347246,0
Tot,F,70-79,DIAZEPAM,1,1347246,0.0742254941
Tot,F,70-79,DIPHENHYDRAMINE,7,1347246,0.5195784586
Tot,F,70-79,HEROIN,0,1347246,0
Tot,F,70-79,HYDROCODONE,2,1347246,0.1484509882
Tot,F,70-79,METHADONE,5,1347246,0.3711274704
Tot,F,70-79,METHAMPHETAMINE,0,1347246,0
Tot,F,70-79,MORPHINE,4,1347246,0.2969019763
Tot,F,70-79,OPIATE,0,1347246,0
Tot,F,70-79,OXYCODONE,9,1347246,0.6680294467
Tot,F,80+,ACETAMINOPHEN,1,1088733,0.0918498842
Tot,F,80+,ALCOHOL,0,1088733,0
Tot,F,80+,ALPRAZOLAM,1,1088733,0.0918498842
Tot,F,80+,AMITRIPTYLINE,0,1088733,0
Tot,F,80+,CITALOPRAM,3,1088733,0.2755496527
Tot,F,80+,COCAINE,0,1088733,0
Tot,F,80+,DIAZEPAM,0,1088733,0
Tot,F,80+,DIPHENHYDRAMINE,3,1088733,0.2755496527
Tot,F,80+,HEROIN,0,1088733,0
Tot,F,80+,HYDROCODONE,3,1088733,0.2755496527
Tot,F,80+,METHADONE,3,1088733,0.2755496527
Tot,F,80+,METHAMPHETAMINE,0,1088733,0
Tot,F,80+,MORPHINE,11,1088733,1.0103487265
Tot,F,80+,OPIATE,2,1088733,0.1836997684
Tot,F,80+,OXYCODONE,3,1088733,0.2755496527
Tot,M,Total,ACETAMINOPHEN,159,25727962,0.6180046441
Tot,M,Total,ALCOHOL,1033,25727962,4.015086776
Tot,M,Total,ALPRAZOLAM,228,25727962,0.8861953388
Tot,M,Total,AMITRIPTYLINE,182,25727962,0.7074015423
Tot,M,Total,CITALOPRAM,229,25727962,0.8900821604
Tot,M,Total,COCAINE,834,25727962,3.2416092654
Tot,M,Total,DIAZEPAM,258,25727962,1.0027999886
Tot,M,Total,DIPHENHYDRAMINE,251,25727962,0.975592237
Tot,M,Total,HEROIN,430,25727962,1.6713333143
Tot,M,Total,HYDROCODONE,265,25727962,1.0300077402
Tot,M,Total,METHADONE,1296,25727962,5.0373208729
Tot,M,Total,METHAMPHETAMINE,480,25727962,1.8656743974
Tot,M,Total,MORPHINE,352,25727962,1.3681612247
Tot,M,Total,OPIATE,371,25727962,1.4420108363
Tot,M,Total,OXYCODONE,570,25727962,2.2154883469
Tot,M,0-9,ACETAMINOPHEN,1,3453065,0.0289597792
Tot,M,0-9,ALCOHOL,0,3453065,0
Tot,M,0-9,ALPRAZOLAM,0,3453065,0
Tot,M,0-9,AMITRIPTYLINE,0,3453065,0
Tot,M,0-9,CITALOPRAM,0,3453065,0
Tot,M,0-9,COCAINE,0,3453065,0
Tot,M,0-9,DIAZEPAM,0,3453065,0
Tot,M,0-9,DIPHENHYDRAMINE,1,3453065,0.0289597792
Tot,M,0-9,HEROIN,0,3453065,0
Tot,M,0-9,HYDROCODONE,0,3453065,0
Tot,M,0-9,METHADONE,2,3453065,0.0579195584
Tot,M,0-9,METHAMPHETAMINE,0,3453065,0
Tot,M,0-9,MORPHINE,1,3453065,0.0289597792
Tot,M,0-9,OPIATE,0,3453065,0
Tot,M,0-9,OXYCODONE,0,3453065,0
Tot,M,10-19,ACETAMINOPHEN,3,3687725,0.0813509684
Tot,M,10-19,ALCOHOL,19,3687725,0.5152228
Tot,M,10-19,ALPRAZOLAM,3,3687725,0.0813509684
Tot,M,10-19,AMITRIPTYLINE,2,3687725,0.0542339789
Tot,M,10-19,CITALOPRAM,7,3687725,0.1898189263
Tot,M,10-19,COCAINE,11,3687725,0.2982868842
Tot,M,10-19,DIAZEPAM,8,3687725,0.2169359158
Tot,M,10-19,DIPHENHYDRAMINE,8,3687725,0.2169359158
Tot,M,10-19,HEROIN,7,3687725,0.1898189263
Tot,M,10-19,HYDROCODONE,7,3687725,0.1898189263
Tot,M,10-19,METHADONE,49,3687725,1.3287324841
Tot,M,10-19,METHAMPHETAMINE,9,3687725,0.2440529052
Tot,M,10-19,MORPHINE,10,3687725,0.2711698947
Tot,M,10-19,OPIATE,7,3687725,0.1898189263
Tot,M,10-19,OXYCODONE,10,3687725,0.2711698947
Tot,M,20-29,ACETAMINOPHEN,11,3714637,0.2961258395
Tot,M,20-29,ALCOHOL,150,3714637,4.0380796293
Tot,M,20-29,ALPRAZOLAM,48,3714637,1.2921854814
Tot,M,20-29,AMITRIPTYLINE,11,3714637,0.2961258395
Tot,M,20-29,CITALOPRAM,30,3714637,0.8076159259
Tot,M,20-29,COCAINE,129,3714637,3.4727484812
Tot,M,20-29,DIAZEPAM,44,3714637,1.1845033579
Tot,M,20-29,DIPHENHYDRAMINE,31,3714637,0.8345364567
Tot,M,20-29,HEROIN,95,3714637,2.5574504319
Tot,M,20-29,HYDROCODONE,22,3714637,0.592251679
Tot,M,20-29,METHADONE,239,3714637,6.434006876
Tot,M,20-29,METHAMPHETAMINE,81,3714637,2.1805629998
Tot,M,20-29,MORPHINE,37,3714637,0.9960596419
Tot,M,20-29,OPIATE,64,3714637,1.7229139752
Tot,M,20-29,OXYCODONE,106,3714637,2.8535762714
Tot,M,30-39,ACETAMINOPHEN,38,3641288,1.0435867748
Tot,M,30-39,ALCOHOL,220,3641288,6.0418181698
Tot,M,30-39,ALPRAZOLAM,41,3641288,1.1259752044
Tot,M,30-39,AMITRIPTYLINE,35,3641288,0.9611983452
Tot,M,30-39,CITALOPRAM,39,3641288,1.0710495847
Tot,M,30-39,COCAINE,159,3641288,4.3665867682
Tot,M,30-39,DIAZEPAM,40,3641288,1.0985123945
Tot,M,30-39,DIPHENHYDRAMINE,56,3641288,1.5379173523
Tot,M,30-39,HEROIN,89,3641288,2.4441900778
Tot,M,30-39,HYDROCODONE,45,3641288,1.2358264438
Tot,M,30-39,METHADONE,237,3641288,6.5086859375
Tot,M,30-39,METHAMPHETAMINE,97,3641288,2.6638925567
Tot,M,30-39,MORPHINE,50,3641288,1.3731404931
Tot,M,30-39,OPIATE,84,3641288,2.3068760285
Tot,M,30-39,OXYCODONE,94,3641288,2.5815041271
Tot,M,40-49,ACETAMINOPHEN,42,3920939,1.071171982
Tot,M,40-49,ALCOHOL,350,3920939,8.9264331835
Tot,M,40-49,ALPRAZOLAM,79,3920939,2.01482349
Tot,M,40-49,AMITRIPTYLINE,71,3920939,1.8107907315
Tot,M,40-49,CITALOPRAM,86,3920939,2.1933521537
Tot,M,40-49,COCAINE,279,3920939,7.115642452
Tot,M,40-49,DIAZEPAM,93,3920939,2.3718808173
Tot,M,40-49,DIPHENHYDRAMINE,76,3920939,1.9383112056
Tot,M,40-49,HEROIN,149,3920939,3.8001101267
Tot,M,40-49,HYDROCODONE,94,3920939,2.3973849121
Tot,M,40-49,METHADONE,401,3920939,10.227142019
Tot,M,40-49,METHAMPHETAMINE,177,3920939,4.5142247814
Tot,M,40-49,MORPHINE,127,3920939,3.2390200409
Tot,M,40-49,OPIATE,111,3920939,2.8309545239
Tot,M,40-49,OXYCODONE,196,3920939,4.9988025827
Tot,M,50-59,ACETAMINOPHEN,42,3452607,1.2164720746
Tot,M,50-59,ALCOHOL,245,3452607,7.0960871017
Tot,M,50-59,ALPRAZOLAM,44,3452607,1.2743993162
Tot,M,50-59,AMITRIPTYLINE,52,3452607,1.5061082828
Tot,M,50-59,CITALOPRAM,51,3452607,1.477144662
Tot,M,50-59,COCAINE,227,3452607,6.5747419269
Tot,M,50-59,DIAZEPAM,67,3452607,1.9405625952
Tot,M,50-59,DIPHENHYDRAMINE,68,3452607,1.969526216
Tot,M,50-59,HEROIN,82,3452607,2.3750169075
Tot,M,50-59,HYDROCODONE,71,3452607,2.0564170785
Tot,M,50-59,METHADONE,312,3452607,9.0366496969
Tot,M,50-59,METHAMPHETAMINE,95,3452607,2.7515439782
Tot,M,50-59,MORPHINE,106,3452607,3.0701438073
Tot,M,50-59,OPIATE,94,3452607,2.7225803574
Tot,M,50-59,OXYCODONE,135,3452607,3.9100888112
Tot,M,60-69,ACETAMINOPHEN,12,2086040,0.5752526318
Tot,M,60-69,ALCOHOL,38,2086040,1.821633334
Tot,M,60-69,ALPRAZOLAM,10,2086040,0.4793771932
Tot,M,60-69,AMITRIPTYLINE,6,2086040,0.2876263159
Tot,M,60-69,CITALOPRAM,13,2086040,0.6231903511
Tot,M,60-69,COCAINE,25,2086040,1.1984429829
Tot,M,60-69,DIAZEPAM,6,2086040,0.2876263159
Tot,M,60-69,DIPHENHYDRAMINE,10,2086040,0.4793771932
Tot,M,60-69,HEROIN,7,2086040,0.3355640352
Tot,M,60-69,HYDROCODONE,18,2086040,0.8628789477
Tot,M,60-69,METHADONE,51,2086040,2.4448236851
Tot,M,60-69,METHAMPHETAMINE,20,2086040,0.9587543863
Tot,M,60-69,MORPHINE,17,2086040,0.8149412284
Tot,M,60-69,OPIATE,10,2086040,0.4793771932
Tot,M,60-69,OXYCODONE,24,2086040,1.1505052636
Tot,M,70-79,ACETAMINOPHEN,5,1135947,0.4401613808
Tot,M,70-79,ALCOHOL,8,1135947,0.7042582092
Tot,M,70-79,ALPRAZOLAM,3,1135947,0.2640968285
Tot,M,70-79,AMITRIPTYLINE,4,1135947,0.3521291046
Tot,M,70-79,CITALOPRAM,2,1135947,0.1760645523
Tot,M,70-79,COCAINE,4,1135947,0.3521291046
Tot,M,70-79,DIAZEPAM,0,1135947,0
Tot,M,70-79,DIPHENHYDRAMINE,1,1135947,0.0880322762
Tot,M,70-79,HEROIN,1,1135947,0.0880322762
Tot,M,70-79,HYDROCODONE,4,1135947,0.3521291046
Tot,M,70-79,METHADONE,5,1135947,0.4401613808
Tot,M,70-79,METHAMPHETAMINE,1,1135947,0.0880322762
Tot,M,70-79,MORPHINE,2,1135947,0.1760645523
Tot,M,70-79,OPIATE,1,1135947,0.0880322762
Tot,M,70-79,OXYCODONE,3,1135947,0.2640968285
Tot,M,80+,ACETAMINOPHEN,5,635714,0.7865172074
Tot,M,80+,ALCOHOL,3,635714,0.4719103245
Tot,M,80+,ALPRAZOLAM,0,635714,0
Tot,M,80+,AMITRIPTYLINE,1,635714,0.1573034415
Tot,M,80+,CITALOPRAM,1,635714,0.1573034415
Tot,M,80+,COCAINE,0,635714,0
Tot,M,80+,DIAZEPAM,0,635714,0
Tot,M,80+,DIPHENHYDRAMINE,0,635714,0
Tot,M,80+,HEROIN,0,635714,0
Tot,M,80+,HYDROCODONE,4,635714,0.6292137659
Tot,M,80+,METHADONE,0,635714,0
Tot,M,80+,METHAMPHETAMINE,0,635714,0
Tot,M,80+,MORPHINE,2,635714,0.314606883
Tot,M,80+,OPIATE,0,635714,0
Tot,M,80+,OXYCODONE,2,635714,0.314606883
Tot,T,Total,ACETAMINOPHEN,395,51584504,0.7657338336
Tot,T,Total,ALCOHOL,1446,51584504,2.8031674008
Tot,T,Total,ALPRAZOLAM,412,51584504,0.7986894669
Tot,T,Total,AMITRIPTYLINE,397,51584504,0.7696109669
Tot,T,Total,CITALOPRAM,533,51584504,1.0332560336
Tot,T,Total,COCAINE,1174,51584504,2.2758772673
Tot,T,Total,DIAZEPAM,468,51584504,0.9072492003
Tot,T,Total,DIPHENHYDRAMINE,574,51584504,1.112737267
Tot,T,Total,HEROIN,539,51584504,1.0448874336
Tot,T,Total,HYDROCODONE,563,51584504,1.0914130337
Tot,T,Total,METHADONE,2149,51584504,4.1659797679
Tot,T,Total,METHAMPHETAMINE,681,51584504,1.3201639004
Tot,T,Total,MORPHINE,648,51584504,1.2561912004
Tot,T,Total,OPIATE,543,51584504,1.0526417003
Tot,T,Total,OXYCODONE,1047,51584504,2.0296793006
Tot,T,0-9,ACETAMINOPHEN,1,6745345,0.0148250386
Tot,T,0-9,ALCOHOL,0,6745345,0
Tot,T,0-9,ALPRAZOLAM,0,6745345,0
Tot,T,0-9,AMITRIPTYLINE,0,6745345,0
Tot,T,0-9,CITALOPRAM,0,6745345,0
Tot,T,0-9,COCAINE,0,6745345,0
Tot,T,0-9,DIAZEPAM,0,6745345,0
Tot,T,0-9,DIPHENHYDRAMINE,1,6745345,0.0148250386
Tot,T,0-9,HEROIN,0,6745345,0
Tot,T,0-9,HYDROCODONE,0,6745345,0
Tot,T,0-9,METHADONE,6,6745345,0.0889502316
Tot,T,0-9,METHAMPHETAMINE,1,6745345,0.0148250386
Tot,T,0-9,MORPHINE,1,6745345,0.0148250386
Tot,T,0-9,OPIATE,0,6745345,0
Tot,T,0-9,OXYCODONE,0,6745345,0
Tot,T,10-19,ACETAMINOPHEN,8,7186708,0.1113166139
Tot,T,10-19,ALCOHOL,23,7186708,0.3200352651
Tot,T,10-19,ALPRAZOLAM,5,7186708,0.0695728837
Tot,T,10-19,AMITRIPTYLINE,2,7186708,0.0278291535
Tot,T,10-19,CITALOPRAM,10,7186708,0.1391457674
Tot,T,10-19,COCAINE,15,7186708,0.2087186512
Tot,T,10-19,DIAZEPAM,10,7186708,0.1391457674
Tot,T,10-19,DIPHENHYDRAMINE,12,7186708,0.1669749209
Tot,T,10-19,HEROIN,10,7186708,0.1391457674
Tot,T,10-19,HYDROCODONE,11,7186708,0.1530603442
Tot,T,10-19,METHADONE,61,7186708,0.8487891814
Tot,T,10-19,METHAMPHETAMINE,13,7186708,0.1808894977
Tot,T,10-19,MORPHINE,15,7186708,0.2087186512
Tot,T,10-19,OPIATE,10,7186708,0.1391457674
Tot,T,10-19,OXYCODONE,15,7186708,0.2087186512
Tot,T,20-29,ACETAMINOPHEN,36,7249983,0.4965528885
Tot,T,20-29,ALCOHOL,192,7249983,2.6482820718
Tot,T,20-29,ALPRAZOLAM,65,7249983,0.8965538264
Tot,T,20-29,AMITRIPTYLINE,22,7249983,0.3034489874
Tot,T,20-29,CITALOPRAM,56,7249983,0.7724156043
Tot,T,20-29,COCAINE,174,7249983,2.4000056276
Tot,T,20-29,DIAZEPAM,63,7249983,0.8689675548
Tot,T,20-29,DIPHENHYDRAMINE,58,7249983,0.8000018759
Tot,T,20-29,HEROIN,112,7249983,1.5448312086
Tot,T,20-29,HYDROCODONE,49,7249983,0.6758636537
Tot,T,20-29,METHADONE,320,7249983,4.4138034531
Tot,T,20-29,METHAMPHETAMINE,107,7249983,1.4758655296
Tot,T,20-29,MORPHINE,62,7249983,0.855174419
Tot,T,20-29,OPIATE,80,7249983,1.1034508633
Tot,T,20-29,OXYCODONE,140,7249983,1.9310390107
Tot,T,30-39,ACETAMINOPHEN,79,7135188,1.1071887664
Tot,T,30-39,ALCOHOL,299,7135188,4.1904992552
Tot,T,30-39,ALPRAZOLAM,71,7135188,0.995068385
Tot,T,30-39,AMITRIPTYLINE,76,7135188,1.0651436234
Tot,T,30-39,CITALOPRAM,87,7135188,1.2193091478
Tot,T,30-39,COCAINE,219,7135188,3.0692954411
Tot,T,30-39,DIAZEPAM,72,7135188,1.0090834327
Tot,T,30-39,DIPHENHYDRAMINE,129,7135188,1.8079411503
Tot,T,30-39,HEROIN,112,7135188,1.5696853398
Tot,T,30-39,HYDROCODONE,99,7135188,1.38748972
Tot,T,30-39,METHADONE,434,7135188,6.0825306916
Tot,T,30-39,METHAMPHETAMINE,151,7135188,2.1162721991
Tot,T,30-39,MORPHINE,83,7135188,1.1632489571
Tot,T,30-39,OPIATE,118,7135188,1.6537756258
Tot,T,30-39,OXYCODONE,173,7135188,2.424603248
Tot,T,40-49,ACETAMINOPHEN,116,7803949,1.4864269359
Tot,T,40-49,ALCOHOL,480,7803949,6.1507321486
Tot,T,40-49,ALPRAZOLAM,144,7803949,1.8452196446
Tot,T,40-49,AMITRIPTYLINE,140,7803949,1.7939635433
Tot,T,40-49,CITALOPRAM,193,7803949,2.4731068847
Tot,T,40-49,COCAINE,423,7803949,5.4203327059
Tot,T,40-49,DIAZEPAM,171,7803949,2.1911983279
Tot,T,40-49,DIPHENHYDRAMINE,186,7803949,2.3834087076
Tot,T,40-49,HEROIN,187,7803949,2.3962227329
Tot,T,40-49,HYDROCODONE,198,7803949,2.5371770113
Tot,T,40-49,METHADONE,701,7803949,8.982631742
Tot,T,40-49,METHAMPHETAMINE,255,7803949,3.2675764539
Tot,T,40-49,MORPHINE,213,7803949,2.7293873909
Tot,T,40-49,OPIATE,178,7803949,2.2808965051
Tot,T,40-49,OXYCODONE,342,7803949,4.3823966558
Tot,T,50-59,ACETAMINOPHEN,108,6991039,1.544834752
Tot,T,50-59,ALCOHOL,367,6991039,5.2495773518
Tot,T,50-59,ALPRAZOLAM,102,6991039,1.4590105991
Tot,T,50-59,AMITRIPTYLINE,118,6991039,1.6878750068
Tot,T,50-59,CITALOPRAM,139,6991039,1.988259542
Tot,T,50-59,COCAINE,304,6991039,4.3484237465
Tot,T,50-59,DIAZEPAM,136,6991039,1.9453474655
Tot,T,50-59,DIPHENHYDRAMINE,141,6991039,2.0168675929
Tot,T,50-59,HEROIN,106,6991039,1.5162267011
Tot,T,50-59,HYDROCODONE,153,6991039,2.1885158987
Tot,T,50-59,METHADONE,515,6991039,7.3665731231
Tot,T,50-59,METHAMPHETAMINE,131,6991039,1.8738273381
Tot,T,50-59,MORPHINE,215,6991039,3.0753654786
Tot,T,50-59,OPIATE,133,6991039,1.9024353891
Tot,T,50-59,OXYCODONE,291,6991039,4.1624714152
Tot,T,60-69,ACETAMINOPHEN,29,4264652,0.6800085916
Tot,T,60-69,ALCOHOL,71,4264652,1.6648486207
Tot,T,60-69,ALPRAZOLAM,19,4264652,0.4455228703
Tot,T,60-69,AMITRIPTYLINE,29,4264652,0.6800085916
Tot,T,60-69,CITALOPRAM,37,4264652,0.8675971685
Tot,T,60-69,COCAINE,35,4264652,0.8207000243
Tot,T,60-69,DIAZEPAM,15,4264652,0.3517285818
Tot,T,60-69,DIPHENHYDRAMINE,36,4264652,0.8441485964
Tot,T,60-69,HEROIN,11,4264652,0.2579342933
Tot,T,60-69,HYDROCODONE,40,4264652,0.9379428849
Tot,T,60-69,METHADONE,99,4264652,2.3214086401
Tot,T,60-69,METHAMPHETAMINE,22,4264652,0.5158685867
Tot,T,60-69,MORPHINE,40,4264652,0.9379428849
Tot,T,60-69,OPIATE,21,4264652,0.4924200146
Tot,T,60-69,OXYCODONE,69,4264652,1.6179514765
Tot,T,70-79,ACETAMINOPHEN,12,2483193,0.4832487849
Tot,T,70-79,ALCOHOL,11,2483193,0.4429780529
Tot,T,70-79,ALPRAZOLAM,5,2483193,0.2013536604
Tot,T,70-79,AMITRIPTYLINE,9,2483193,0.3624365887
Tot,T,70-79,CITALOPRAM,7,2483193,0.2818951245
Tot,T,70-79,COCAINE,4,2483193,0.1610829283
Tot,T,70-79,DIAZEPAM,1,2483193,0.0402707321
Tot,T,70-79,DIPHENHYDRAMINE,8,2483193,0.3221658566
Tot,T,70-79,HEROIN,1,2483193,0.0402707321
Tot,T,70-79,HYDROCODONE,6,2483193,0.2416243925
Tot,T,70-79,METHADONE,10,2483193,0.4027073208
Tot,T,70-79,METHAMPHETAMINE,1,2483193,0.0402707321
Tot,T,70-79,MORPHINE,6,2483193,0.2416243925
Tot,T,70-79,OPIATE,1,2483193,0.0402707321
Tot,T,70-79,OXYCODONE,12,2483193,0.4832487849
Tot,T,80+,ACETAMINOPHEN,6,1724447,0.3479376287
Tot,T,80+,ALCOHOL,3,1724447,0.1739688144
Tot,T,80+,ALPRAZOLAM,1,1724447,0.0579896048
Tot,T,80+,AMITRIPTYLINE,1,1724447,0.0579896048
Tot,T,80+,CITALOPRAM,4,1724447,0.2319584191
Tot,T,80+,COCAINE,0,1724447,0
Tot,T,80+,DIAZEPAM,0,1724447,0
Tot,T,80+,DIPHENHYDRAMINE,3,1724447,0.1739688144
Tot,T,80+,HEROIN,0,1724447,0
Tot,T,80+,HYDROCODONE,7,1724447,0.4059272335
Tot,T,80+,METHADONE,3,1724447,0.1739688144
Tot,T,80+,METHAMPHETAMINE,0,1724447,0
Tot,T,80+,MORPHINE,13,1724447,0.7538648622
